Step,KineticEnergy
6820,2.77016
6830,2.76277
6840,2.75239
6850,2.74066
6860,2.72793
6870,2.71469
6880,2.70194
6890,2.68962
6900,2.67849
6910,2.66846
6920,2.65952
6930,2.65286
6940,2.64974
6950,2.65084
6960,2.65686
6970,2.66701
6980,2.68018
6990,2.69428
7000,2.70765
7010,2.71906
7020,2.72793
7030,2.734
7040,2.73702
7050,2.73673
7060,2.73356
7070,2.72811
7080,2.7205
7090,2.71128
7100,2.7012
7110,2.69093
7120,2.68046
7130,2.6702
7140,2.66057
7150,2.65189
7160,2.64463
7170,2.63776
7180,2.63074
7190,2.62393
7200,2.61742
7210,2.61159
7220,2.60638
7230,2.60173
7240,2.59736
7250,2.5926
7260,2.58666
7270,2.57836
7280,2.56883
7290,2.55809
7300,2.54716
7310,2.53706
7320,2.52879
7330,2.52273
7340,2.51834
7350,2.51547
7360,2.51413
7370,2.51459
7380,2.5167
7390,2.52037
7400,2.52478
7410,2.52959
7420,2.53455
7430,2.53958
7440,2.5453
7450,2.55188
7460,2.55834
7470,2.56361
7480,2.56678
7490,2.56669
7500,2.56324
7510,2.55704
7520,2.54882
7530,2.53966
7540,2.531
7550,2.52417
7560,2.51985
7570,2.51804
7580,2.51816
7590,2.51951
7600,2.52183
7610,2.52487
7620,2.52809
7630,2.53161
7640,2.53533
7650,2.53896
7660,2.54154
7670,2.54274
7680,2.54263
7690,2.54108
7700,2.53789
7710,2.53263
7720,2.52484
7730,2.51561
7740,2.50513
7750,2.4937
7760,2.48281
7770,2.47298
7780,2.46414
7790,2.45664
7800,2.45058
7810,2.44518
7820,2.44038
7830,2.43653
7840,2.43408
7850,2.43335
7860,2.43374
7870,2.43468
7880,2.43546
7890,2.43485
7900,2.43227
7910,2.42719
7920,2.41988
7930,2.41067
7940,2.4
7950,2.38786
7960,2.37477
7970,2.362
7980,2.35082
7990,2.34183
8000,2.33597
8010,2.33321
8020,2.33485
8030,2.34023
8040,2.34889
8050,2.36016
8060,2.3729
8070,2.38632
8080,2.39972
8090,2.41236
8100,2.42373
8110,2.4329
8120,2.43984
8130,2.44565
8140,2.45044
8150,2.4538
8160,2.45478
8170,2.45283
8180,2.44783
8190,2.44026
8200,2.43135
8210,2.42177
8220,2.41285
8230,2.40543
8240,2.40025
8250,2.39811
8260,2.39938
8270,2.4041
8280,2.41295
8290,2.42542
8300,2.44051
8310,2.45754
8320,2.47479
8330,2.48994
8340,2.50105
8350,2.50707
8360,2.50754
8370,2.50315
8380,2.49454
8390,2.48304
8400,2.47097
8410,2.45936
8420,2.44868
8430,2.43938
8440,2.43179
8450,2.42564
8460,2.42063
8470,2.41683
8480,2.41403
8490,2.41093
8500,2.40642
8510,2.40015
8520,2.39135
8530,2.38094
8540,2.36966
8550,2.35851
8560,2.34868
8570,2.34097
8580,2.33617
8590,2.33502
8600,2.33817
8610,2.34606
8620,2.35803
8630,2.37273
8640,2.38915
8650,2.40534
8660,2.42037
8670,2.4336
8680,2.44428
8690,2.45171
8700,2.45563
8710,2.45598
8720,2.45309
8730,2.44811
8740,2.44196
8750,2.43478
8760,2.42648
8770,2.41719
8780,2.40698
8790,2.3966
8800,2.38751
8810,2.38115
8820,2.3785
8830,2.38
8840,2.38477
8850,2.39156
8860,2.39864
8870,2.40432
8880,2.40699
8890,2.40621
8900,2.40194
8910,2.39371
8920,2.38227
8930,2.3679
8940,2.35136
8950,2.33393
8960,2.31677
8970,2.30124
8980,2.28748
8990,2.27581
9000,2.26596
9010,2.25734
9020,2.24961
9030,2.24256
9040,2.23638
9050,2.23108
9060,2.22605
9070,2.22142
9080,2.21703
9090,2.21245
9100,2.20699
9110,2.20047
9120,2.19355
9130,2.18666
9140,2.18034
9150,2.17451
9160,2.16921
9170,2.16439
9180,2.1606
9190,2.1576
9200,2.15545
9210,2.15433
9220,2.15422
9230,2.15484
9240,2.15494
9250,2.15322
9260,2.14906
9270,2.14202
9280,2.13204
9290,2.11987
9300,2.10653
9310,2.09298
9320,2.08051
9330,2.07058
9340,2.06452
9350,2.06315
9360,2.06507
9370,2.06933
9380,2.07595
9390,2.08488
9400,2.09553
9410,2.10634
9420,2.11415
9430,2.11745
9440,2.11567
9450,2.10945
9460,2.09899
9470,2.08448
9480,2.06713
9490,2.0481
9500,2.0286
9510,2.00987
9520,1.99286
9530,1.97846
9540,1.96718
9550,1.9594
9560,1.95558
9570,1.95588
9580,1.96021
9590,1.96781
9600,1.97793
9610,1.98972
9620,2.00254
9630,2.01516
9640,2.0253
9650,2.03142
9660,2.03297
9670,2.03047
9680,2.02461
9690,2.01589
9700,2.00533
9710,1.99442
9720,1.98435
9730,1.97593
9740,1.96967
9750,1.96641
9760,1.96669
9770,1.97049
9780,1.97724
9790,1.98592
9800,1.99616
9810,2.0067
9820,2.0156
9830,2.02187
9840,2.02538
9850,2.02639
9860,2.0255
9870,2.02317
9880,2.02069
9890,2.01889
9900,2.01777
9910,2.01687
9920,2.01521
9930,2.01251
9940,2.00884
9950,2.00447
9960,1.99916
9970,1.99285
9980,1.98577
9990,1.97826
10000,1.97087
10010,1.96398
10020,1.95781
10030,1.95186
10040,1.94586
10050,1.93996
10060,1.93412
10070,1.92806
10080,1.92164
10090,1.91512
10100,1.90876
10110,1.9031
10120,1.89841
10130,1.89488
10140,1.89284
10150,1.89283
10160,1.89458
10170,1.89748
10180,1.90185
10190,1.90755
10200,1.91386
10210,1.92019
10220,1.92561
10230,1.92958
10240,1.93157
10250,1.93099
10260,1.92803
10270,1.92294
10280,1.9164
10290,1.90983
10300,1.9046
10310,1.90134
10320,1.90028
10330,1.90001
10340,1.89897
10350,1.89731
10360,1.89447
10370,1.89041
10380,1.88581
10390,1.88217
10400,1.88046
10410,1.88098
10420,1.88365
10430,1.88769
10440,1.89228
10450,1.89696
10460,1.90107
10470,1.90453
10480,1.90919
10490,1.91447
10500,1.91966
10510,1.92418
10520,1.9264
10530,1.92688
10540,1.92565
10550,1.92316
10560,1.91956
10570,1.91573
10580,1.91252
10590,1.90946
10600,1.90613
10610,1.9028
10620,1.89881
10630,1.8944
10640,1.89042
10650,1.888
10660,1.8877
10670,1.89001
10680,1.89564
10690,1.90408
10700,1.91453
10710,1.92568
10720,1.93644
10730,1.94604
10740,1.95431
10750,1.96118
10760,1.96662
10770,1.97065
10780,1.97271
10790,1.97301
10800,1.97205
10810,1.97038
10820,1.96905
10830,1.96757
10840,1.9658
10850,1.96381
10860,1.96143
10870,1.95846
10880,1.95495
10890,1.95137
10900,1.94815
10910,1.94552
10920,1.94354
10930,1.94331
10940,1.94532
10950,1.94914
10960,1.95445
10970,1.96078
10980,1.96755
10990,1.9741
11000,1.97911
11010,1.98193
11020,1.98264
11030,1.98083
11040,1.97722
11050,1.97262
11060,1.96793
11070,1.96345
11080,1.95931
11090,1.95562
11100,1.95317
11110,1.95321
11120,1.95612
11130,1.96078
11140,1.96604
11150,1.97157
11160,1.97792
11170,1.9841
11180,1.98976
11190,1.99421
11200,1.99729
11210,1.99846
11220,1.99777
11230,1.99591
11240,1.99275
11250,1.98813
11260,1.98147
11270,1.97275
11280,1.96212
11290,1.9498
11300,1.93605
11310,1.92183
11320,1.90807
11330,1.89525
11340,1.88439
11350,1.87679
11360,1.87306
11370,1.87312
11380,1.87633
11390,1.88229
11400,1.89048
11410,1.90067
11420,1.91309
11430,1.92696
11440,1.94143
11450,1.95528
11460,1.96764
11470,1.97775
11480,1.98494
11490,1.9903
11500,1.99417
11510,1.99628
11520,1.99588
11530,1.9924
11540,1.98743
11550,1.98185
11560,1.97568
11570,1.96905
11580,1.96233
11590,1.95595
11600,1.95028
11610,1.94443
11620,1.93807
11630,1.93093
11640,1.9233
11650,1.9157
11660,1.90845
11670,1.90256
11680,1.89849
11690,1.89654
11700,1.89624
11710,1.89787
11720,1.90063
11730,1.90444
11740,1.90965
11750,1.91617
11760,1.92354
11770,1.93057
11780,1.93576
11790,1.93753
11800,1.93495
11810,1.92789
11820,1.91695
11830,1.90312
11840,1.88787
11850,1.87234
11860,1.85775
11870,1.84482
11880,1.83456
11890,1.82732
11900,1.82333
11910,1.8228
11920,1.82546
11930,1.83073
11940,1.83822
11950,1.84746
11960,1.85784
11970,1.86885
11980,1.88012
11990,1.89053
12000,1.89933
12010,1.90613
12020,1.911
12030,1.91374
12040,1.91407
12050,1.9124
12060,1.90882
12070,1.90418
12080,1.89902
12090,1.89348
12100,1.88782
12110,1.88266
12120,1.87854
12130,1.87439
12140,1.86876
12150,1.86154
12160,1.85296
12170,1.84356
12180,1.83392
12190,1.82401
12200,1.81393
12210,1.80494
12220,1.79831
12230,1.79517
12240,1.79619
12250,1.80148
12260,1.81054
12270,1.82228
12280,1.83554
12290,1.84883
12300,1.86099
12310,1.87103
12320,1.87922
12330,1.8854
12340,1.88879
12350,1.88919
12360,1.88647
12370,1.8812
12380,1.87474
12390,1.86812
12400,1.86172
12410,1.85618
12420,1.85171
12430,1.84808
12440,1.84451
12450,1.84042
12460,1.83558
12470,1.83038
12480,1.82456
12490,1.81853
12500,1.81234
12510,1.80646
12520,1.80101
