x,y
4.42837,-1.68649
-4.24288,-1.55851
-4.20252,-1.63348
-3.98526,-1.80746
-3.72194,-1.84162
-3.09251,-1.88752
-3.90936,-1.9743
-3.75835,-2.00319
-3.45537,-2.1014
-3.33711,-2.0733
-3.39014,-1.96394
-2.09492,-1.69664
-2.69253,-2.30159
-2.91321,-2.65342
-2.56736,-3.09421
-2.32486,-3.01595
-2.15685,-2.93647
-1.30251,-3.04923
-0.90324,-3.16458
-0.0470205,-3.29951
0.00201123,-3.89923
0.328535,-3.71468
0.40578,-4.00993
1.22076,-3.57093
2.25383,-3.24715
2.14602,-3.30655
2.79578,-2.9888
2.91156,-2.91115
3.10126,-2.53984
3.74042,-1.88193
3.20692,-2.16414
3.54363,-2.14151
3.49191,-1.85449
3.77889,-1.81735
3.89055,-1.75331
4.19093,-1.90011
4.2818,-1.75464
4.32843,-1.65473
4.47552,-1.57505
-4.32307,-1.4096
-4.2677,-1.51242
-4.0396,-1.70519
-3.8169,-1.90794
-3.64149,-1.79585
-3.66665,-1.94679
-3.61234,-2.04375
-3.60974,-2.29135
-3.55686,-2.14587
-2.89176,-2.30194
-3.50328,-2.0084
-2.98724,-2.3996
-2.55396,-2.82045
-3.08014,-2.66677
-1.97362,-3.12308
-1.29486,-2.89904
-0.977888,-3.38767
-0.673308,-3.76332
-0.256285,-3.38984
0.408959,-3.92586
0.912054,-3.66541
0.792019,-3.74471
1.54187,-2.98408
1.93371,-3.48607
2.10159,-2.87912
2.61676,-2.9198
2.86099,-2.60966
3.10912,-2.38846
3.35008,-2.26273
4.07587,-2.05632
3.8871,-1.90431
4.05028,-1.90591
4.0691,-1.65639
4.12375,-1.82218
4.17305,-1.72046
4.22515,-1.61452
4.3228,-1.54922
4.52213,-1.46488
-4.36567,-1.33049
-4.30531,-1.44257
-4.13784,-1.5222
-4.04663,-1.48509
-3.99204,-1.58034
-4.09315,-1.61074
-3.83917,-1.62103
-3.4606,-1.56738
-3.58313,-1.62218
-3.26503,-2.16125
-2.90572,-2.06447
-2.58525,-2.41715
-3.1814,-2.24733
-2.45139,-2.87325
-2.42238,-2.75276
-1.70302,-2.95666
-0.431348,-3.00632
-0.570388,-3.39989
-1.42838,-2.77951
-0.630802,-3.24114
-0.17307,-3.24737
1.27303,-3.73323
1.5818,-3.20923
2.25688,-3.01307
2.46921,-2.78011
2.48456,-3.08853
2.84598,-2.19056
2.8192,-2.41963
3.69691,-1.27511
3.68003,-1.97771
3.17744,-2.31312
4.04704,-1.74844
4.01943,-1.49044
4.12586,-1.57969
4.39984,-1.5427
4.26488,-1.47247
4.31479,-1.40721
4.40836,-1.44409
4.59987,-1.28112
-4.42973,-1.21151
-4.08616,-1.3805
-4.39906,-1.26847
-4.23033,-1.34587
-3.95797,-1.43514
-3.94342,-1.66534
-3.89384,-1.74214
-3.68571,-1.67477
-3.25681,-1.93011
-3.77949,-1.72628
-3.19247,-2.03309
-2.76445,-1.93245
-0.629747,-2.39378
-2.67062,-2.08952
-1.667,-2.80765
-2.47431,-2.5155
-1.79447,-2.6779
-0.818343,-3.33319
-0.940179,-3.2782
0.178149,-3.52821
1.01043,-3.48829
1.8431,-3.27144
1.71577,-3.12274
2.21811,-3.14257
2.27648,-2.90367
2.95127,-1.91198
3.26758,-2.33053
3.46166,-2.21083
3.6009,-1.76818
3.94947,-1.64099
3.74724,-1.70384
3.99901,-1.20255
3.89223,-1.46176
4.21074,-1.34175
4.24984,-1.23234
4.45627,-1.34337
4.56159,-1.37162
4.64044,-1.18523
-4.50072,-1.07967
-4.46064,-1.1541
-4.35988,-1.06772
-4.32895,-1.19073
-4.02718,-1.24393
-3.98211,-1.34009
-4.18424,-1.43451
-3.79945,-1.36403
-3.64483,-1.5075
-3.35943,-1.48496
-3.53543,-1.74305
-3.23434,-1.66875
-3.08413,-2.31194
-2.53938,-2.65642
-0.958365,-2.52921
-1.45592,-3.00616
-1.06708,-2.75025
-1.63991,-2.59999
-0.301328,-3.18056
-0.00508454,-3.63866
0.777876,-3.65613
1.11808,-3.44865
0.844487,-2.98494
1.91482,-3.17815
2.42084,-2.5798
2.40809,-3.01438
2.95065,-2.48904
3.38805,-2.09863
3.0455,-2.23718
3.83753,-1.28673
4.1551,-1.47211
3.535,-1.45714
3.76509,-1.38528
4.06812,-1.40201
4.34241,-1.30842
4.48743,-1.26346
4.42492,-1.12233
4.57242,-1.06755
4.67991,-1.09194
-4.57487,-0.939527
-4.50583,-1.07018
-4.37392,-0.823378
-4.44783,-0.920166
-3.38729,-1.13241
-4.12987,-1.29485
-3.65833,-1.36109
-3.85673,-1.81919
-3.55527,-1.13933
-3.75672,-1.1432
-3.75619,-1.5766
-3.30173,-1.82287
-3.41135,-1.6839
-2.36925,-2.39291
-2.53864,-2.98496
-2.32129,-2.89423
-1.58373,-2.86124
-0.671252,-3.0652
-0.51046,-3.27151
0.189658,-3.15373
0.328699,-3.5756
0.87111,-3.40317
1.57401,-3.36684
2.07589,-3.20684
2.00258,-2.97875
2.74108,-2.53594
3.11478,-1.85245
3.11381,-2.03495
1.86031,-1.37172
3.77143,-1.09805
3.79023,-1.02423
3.90777,-1.16948
4.10502,-1.30046
4.37165,-1.2253
4.27212,-1.14285
4.32999,-1.06997
4.70354,-1.0361
4.75091,-0.924115
4.73019,-0.973097
-4.59712,-0.866417
-4.61696,-0.80125
-4.54547,-0.996571
-4.41471,-0.990101
-4.19284,-1.18774
-4.08565,-1.11681
-4.27107,-1.25229
-3.89539,-1.2881
-3.39779,-0.999778
-3.88613,-1.52149
-2.89642,-1.60572
-3.55521,-1.89875
-3.5619,-1.44383
-2.20329,-2.63694
-2.52325,-2.22668
-2.26477,-2.77375
-1.73368,-3.0602
-0.767427,-3.21769
-0.84852,-3.01121
0.0866497,-2.89069
0.216784,-3.70554
0.475288,-3.59921
0.744835,-3.54421
1.83772,-3.03925
1.88908,-2.80256
2.27312,-2.81137
2.77645,-2.70481
3.40603,-1.69863
2.51444,-2.17511
3.12518,-1.38697
3.40469,-1.37499
3.25599,-1.55935
4.0352,-1.04771
3.94947,-1.35917
4.13463,-1.15741
4.20087,-1.07161
4.60942,-0.958842
4.55482,-0.821321
4.78032,-0.854599
-4.63629,-0.73772
-4.65498,-0.676333
-4.2109,-1.07329
-4.27418,-1.1063
-4.0853,-0.867711
-3.93715,-1.16717
-4.14379,-0.785127
-4.0034,-0.975813
-3.45135,-0.882497
-3.43406,-1.36677
-3.78909,-1.44718
-3.00451,-2.00574
-2.28351,-2.21686
-2.04428,-2.67746
-2.49073,-1.88141
-1.8846,-2.66651
-1.82175,-2.86262
-1.16147,-3.03082
-0.0116849,-3.09608
1.46997,-0.639804
0.571424,-3.46344
0.41769,-3.84406
1.70758,-2.91194
1.77425,-2.69352
1.94486,-1.98057
2.96778,-2.13489
